id,song,location_name,location_name_en,region,region_en,location_y,location_x,song_en,album,Singer,singer_en,songwriter,song_writer_en,year,lyrics,lyrics_en
1,芬梨道上,芬梨道,Findlay Rd,香港,Hong Kong,22.270467721624300,114.15125516860300,On Findlay Road,Unlimited,楊千嬅,Miriam Yeung,"林夕, 藍奕邦","Albert Leung, Pong Nan",2006,這山頂如何高貴 似叫人踏上天梯,"How noble this Peak stands so high, As if inviting us to climb the sky."
2,芬梨道上,太平山,Victoria Peak,香港,Hong Kong,22.27576368758210,114.14561777978000,On Findlay Road,Unlimited,楊千嬅,Miriam Yeung,"林夕, 藍奕邦","Albert Leung, Pong Nan",2006,這山頂何其矜貴 怎可給停留一世,"How precious this Peak, beyond compare, Yet no one can linger forever there."
3,芬梨道上,凌霄阁,The Peak Tower,香港,Hong Kong,22.271234256495500,114.14996210504700,On Findlay Road,Unlimited,楊千嬅,Miriam Yeung,"林夕, 藍奕邦 ","Albert Leung, Pong Nan",2006,凌霄閣不吸引 沿山腰觀景更狠,"The Peak Tower fails to charm, but the mountainside view cuts deeper to the heart."
4,芬梨道上,白加道,Barker Rd,香港,Hong Kong,22.27062469418370,114.15814766798400,On Findlay Road,Unlimited,楊千嬅,Miriam Yeung,"林夕, 藍奕邦","Albert Leung, Pong Nan",2006,寒流襲港驅車往地老天荒 橫行直闖車閃過白加道旁,"In the cold wave over Hong Kong, we race into forever. Speeding recklessly, our car brushes past Barker Rd."
5,芬梨道上,灣仔,Wan Chai,香港,Hong Kong,22.287365758769400,114.1733377289490,On Findlay Road,Unlimited,楊千嬅,Miriam Yeung,"林夕, 藍奕邦","Albert Leung, Pong Nan",2006,令這海景變成個謎 甚至灣仔也漸覺縮細,"The harbour view turns into a riddle, even Wan Chai seems to shrink away."
6,山林道,山林道,Hillwood Rd,香港,Hong Kong,22.302729753456000,114.1731949544920,Hillwood Road,Single,謝安琪,Kay Tse,"黃偉文, 周博賢","Wyman Wong, Adrian Chow",2016,妄想 這裡有天 會由樹 變成路 一醒覺 經已殺出 這條路,"On Hillwood Road, I dreamed in vain, That trees would turn to paths one day.But when I woke, I found the way, Already paved through sweat and pain."
7,皇后大道東,皇后大道西,Queen's Rd W,香港,Hong Kong,22.286948097648400,114.14048219682000,Queen's Road East,皇后大道东,"羅大佑, 蔣志光","Lo TaYou, Ram Chiang","林夕, 羅大佑","Albert Leung, Lo Ta-yu",1999,皇后大道西又皇后大道東 皇后大道東轉皇后大道中,"Queen’s Road West and Queen’s Road East, Queen’s Road East turns to Queen’s Road Central at least."
8,皇后大道東,皇后大道東,Queen's Rd E,香港,Hong Kong,22.274485323236300,114.1731168544920,Queen's Road East,皇后大道东,"羅大佑, 蔣志光","Lo TaYou, Ram Chiang","林夕, 羅大佑","Albert Leung, Lo Ta-yu",1999,皇后大道西又皇后大道東 皇后大道東轉皇后大道中,"Queen’s Road West and Queen’s Road East, Queen’s Road East turns to Queen’s Road Central at least."
9,皇后大道東 ,皇后大道中,Queen's Road Central,香港,Hong Kong,22.283309214059100,114.15526645449200,Queen's Road East,皇后大道东,"羅大佑, 蔣志光","Lo TaYou, Ram Chiang","林夕, 羅大佑","Albert Leung, Lo Ta-yu",1999,皇后大道西又皇后大道東 皇后大道東轉皇后大道中,"Queen’s Road West and Queen’s Road East, Queen’s Road East turns to Queen’s Road Central at least."
10,皇后大道東,旺角,Mong Kok,香港,Hong Kong,22.31979796873720,114.16950906885000,Queen's Road East,皇后大道东,"羅大佑, 蔣志光","Lo TaYou, Ram Chiang","林夕, 羅大佑","Albert Leung, Lo Ta-yu",1999,皇后大道西又皇后大道東 皇后大道東轉皇后大道中,"Queen’s Road West and Queen’s Road East, Queen’s Road East turns to Queen’s Road Central at least."
11,下一站天后,大丸,Daimaru,香港,Hong Kong,22.28082234443080,114.18525342883600,Next Stop Tin Hau,见习爱神,Twins,Twins,"黃偉文, 伍樂城","Wyman Wong, Ronald Ng",2003,站在大丸前 細心看看 我的路 再下個車站,"In front of Daimaru I pause, seeking where my journey goes."
12,下一站天后,天后站,Tin Hau Station,香港,Hong Kong,22.282391696681100,114.19171506798400,Next Stop Tin Hau,见习爱神,Twins,Twins,"黃偉文, 伍樂城","Wyman Wong, Ronald Ng",2003,到天后 當然最好 但華麗的星途 途中 一旦畏高 背後會否還有他 擁抱,"The next stop is Tin Hau (Tin Hau also means Diva in Cantonese), what could be better? A shining road to all the rest. But if I fear the heights midway, will he still hold me anyway?"
13,下一站天后,百德新街,Paterson Street,香港,Hong Kong,22.28099772415640,114.18547868332800,Next Stop Tin Hau,见习爱神,Twins,Twins,"黃偉文, 伍樂城","Wyman Wong, Ronald Ng",2003,在百德新街的愛侶 面上有種顧昐自豪,"On Paterson St, lovers walk by, their faces glowing with a quiet pride."
14,下一站天后,時代廣場,Times Square,香港,Hong Kong,22.278137823488700,114.1821313733370,Next Stop Tin Hau,见习爱神,Twins,Twins,"黃偉文, 伍樂城","Wyman Wong, Ronald Ng",2003,在時代的廣場 誰都 總會有獎 我沒有歌迷 有他景仰,"At the plaza of Times, everyone will win a prize. I have no crowd of fans, only his admiration."
15,時代廣場,時代廣場,Times Square,香港,Hong Kong,22.278137823488700,114.1821313733370,Times Square,新天地,許志安,Andy Hui,"小克, 覃嘉健","Chang Tsz Hin, Jam Chum",2014,無數個可能於你情願等 春秋裡湮滅時代裡誕生 城市的灰塵承托起極端愛恨,"Endless chances, yet you choose to wait. Lost through the years, reborn by fate. The city’s dust bears all our love and hate."
16,彌敦道,彌敦道,Nathan Rd,香港,Hong Kong,22.310875777083700,114.17101569682100,Nathan Road,Go,洪卓立,Ken Hung,"頡臣, 謝杰","Kitson, Josef Tse",2008,街邊太多人與車 繁華鬧市人醉夜 害怕下班等很久的車 排隊兼帶雨遮,"Crowds and cars throng the street, the busy city night leaves people in a daze. After work, they fear the bus that never comes, queuing in rain with umbrellas raised."
17,油尖旺金毛玲,油尖旺,Yau Tsim Mong,香港,Hong Kong,22.31517185529960,114.17352331660900,Yau Tsim Mong Golden Hair Ling,Don't Text Him,Serrini,Serrini,Serrini,Serrini,2016,油尖旺金毛玲看盡世間事,"In Yau Tsim Mong, Kam Mo Ling has seen it all. (Kam Mo Ling: A well-known Hong Kong fortune-teller, a living symbol of the city’s myths and street wisdom.）"
18,獅子山下,獅子山,Lion Rock,香港,Hong Kong,22.35223889762030,114.18703443280500,Under the Lion Rock,好歌献给您,羅文,Roman Tam,"黃霑, 顧嘉輝","James Wong, Joseph Koo",1979,人生中有歡喜 難免亦常有淚 我哋大家 在獅子山下相遇上 總算是歡笑多於唏噓,"Life brings its joys, and tears along the way. Beneath Lion Rock, we crossed our way, With joy far more than sighs to stay."
19,獅子山下,獅子山,Lion Rock,香港,Hong Kong,22.35223889762030,114.18703443280500,Under the Lion Rock,好歌献给您,羅文,Roman Tam,"黃霑, 顧嘉輝","James Wong, Joseph Koo",1979,人生不免崎嶇 難以絕無掛慮 既是同舟 在獅子山下且共濟 拋棄區分求共對,"Life’s path is never smooth and clear, worries linger year by year. Sharing one boat beneath Lion Rock, we stand as one, side by side, without divide."
20,東方之珠,香江,Heung Kong,香港,Hong Kong,22.287298936963600,114.15927375052900,Pearl of the Orient,启示,羅大佑,Lo Tayou,羅大佑,Lo Ta-yu,1986,小河彎彎向南流 流到香江去看一看,"A winding stream flows southbound, To visit Victoria Harbour in its round."
