id,lyrics,location_x,location_y,location_name,location_name_en,song,Singer,singer_en,year,album,songwriter
1,這山頂如何高貴 似叫人踏上天梯,114.15125516860337,22.270467721624275,芬梨道,Findlay Rd,芬梨道上,楊千嬅,Miriam Yeung,2006,Unlimited,"林夕, 藍奕邦"
2,這山頂何其矜貴 怎可給停留一世,114.14561777977987,22.27576368758212,太平山,Victoria Peak,芬梨道上,楊千嬅,Miriam Yeung,2006,Unlimited,"林夕, 藍奕邦"
3,凌霄閣不吸引 沿山腰觀景更狠,114.14996210504727,22.271234256495507,凌霄阁,The Peak Tower,芬梨道上,楊千嬅,Miriam Yeung,2006,Unlimited,"林夕, 藍奕邦 "
4,寒流襲港驅車往地老天荒 橫行直闖車閃過白加道旁,114.15814766798363,22.27062469418369,白加道,Barker Rd,芬梨道上,楊千嬅,Miriam Yeung,2006,Unlimited,"林夕, 藍奕邦"
5,令這海景變成個謎 甚至灣仔也漸覺縮細,114.1733377289494,22.287365758769447,灣仔,Wanchai,芬梨道上,楊千嬅,Miriam Yeung,2006,Unlimited,"林夕, 藍奕邦"
6,妄想 這裡有天 會由樹 變成路 一醒覺 經已殺出 這條路,114.1731949544924,22.302729753455964,山林道,Hillwood Rd,山林道,謝安琪,Kay Tse,2016,Single,"黃偉文, 周博賢"
7,皇后大道西又皇后大道東 皇后大道東轉皇后大道中,114.14048219682003,22.286948097648366,皇后大道西,Queen's Rd W,皇后大道東,"羅大佑, 蔣志光","Lo TaYou, Ram Chiang",1999,皇后大道东,"林夕, 羅大佑"
8,皇后大道西又皇后大道東 皇后大道東轉皇后大道中,114.1731168544918,22.274485323236284,皇后大道東,Queen's Rd E,皇后大道東,"羅大佑, 蔣志光","Lo TaYou, Ram Chiang",1999,皇后大道东,"林夕, 羅大佑"
9,皇后大道西又皇后大道東 皇后大道東轉皇后大道中,114.15526645449206,22.283309214059084,皇后大道中,Queen's Road Central,皇后大道東 ,"羅大佑, 蔣志光","Lo TaYou, Ram Chiang",1999,皇后大道东,"林夕, 羅大佑"
10,皇后大道西又皇后大道東 皇后大道東轉皇后大道中,114.16950906885049,22.31979796873716,旺角,Mong Kok,皇后大道東,"羅大佑, 蔣志光","Lo TaYou, Ram Chiang",1999,皇后大道东,"林夕, 羅大佑"
11,站在大丸前 細心看看 我的路 再下個車站,114.18525342883608,22.28082234443082,大丸,Daimaru,下一站天后,Twins,Twins,2003,见习爱神,"黃偉文, 伍樂城"
12,到天后 當然最好 但華麗的星途 途中 一旦畏高 背後會否還有他 擁抱,114.19171506798394,22.282391696681128,天后站,Tin Hau Station,下一站天后,Twins,Twins,2003,见习爱神,"黃偉文, 伍樂城"
13,在百德新街的愛侶 面上有種顧昐自豪,114.18547868332811,22.28099772415636,百德新街,Paterson Street,下一站天后,Twins,Twins,2003,见习爱神,"黃偉文, 伍樂城"
14,在時代的廣場 誰都 總會有獎 我沒有歌迷 有他景仰,114.1821313733368,22.278137823488724,時代廣場,Times Square,下一站天后,Twins,Twins,2003,见习爱神,"黃偉文, 伍樂城"
15,無數個可能於你情願等 春秋裡湮滅時代裡誕生 城市的灰塵承托起極端愛恨,114.1821313733368,22.278137823488724,時代廣場,Times Square,時代廣場,許志安,Andy Hui,2014,新天地,"小克, 覃嘉健"
16,街邊太多人與車 繁華鬧市人醉夜 害怕下班等很久的車 排隊兼帶雨遮,114.17101569682059,22.310875777083652,彌敦道,Nathan Rd,彌敦道,洪卓立,Ken Hung,2008,Go,"頡臣, 謝杰"
